Date_Created,Tweet,Retweets_Count,Username,Userid,Followers,Correct_Spelled_Tweet,Summary_Tweet,Language_Of_Tweet
2019-12-06 15:03:48,"Michael Jackson can name his son ""Prince Michael Jackson"" but he can't actually make his son a royal prince; and th... https://t.co/6F9aHxqHpY",1286,John Fugelsang,33276161,438444,"Michael Jackson can name his son ""Prince Michael Jackson"" but he can't actually make his son a royal prince; and th... http://t.co/6F9aHxqHpY","['https', '//t.co/6F9aHxqHpYs', 'princes', 'sons', 'sons']",en
2019-12-06 15:34:17,"Heading to Studio 

New Food Stamp Eligibility Program and Why @aoc got it Wrong Again

Monster Jobs Report
Monster... https://t.co/kl9JnnOyQt",587,Charles V Payne,19400611,411755,"Leading to Studio 

New Good Stamp Eligibility Program and Why @arc got it Wrong Again

Monster Sobs Report
Monster... http://t.co/kl9JnnOyQt","['//t.co/kl9JnnOyQts', 'https', 'aocs']",en
2019-12-07 00:41:34,"""Burisma did not find Hunter Biden's resume on https://t.co/EepvBNoZ0f,"" I told China's global television network t... https://t.co/8Fds28RALD",1750,Michael Johns,14828860,198835,"""Burisma did not find Hunter Widen's resume on http://t.co/EepvBNoZ0f,"" I told China's global television network t... http://t.co/8Fds28RALD","['ts', '//t.co/EepvBNoZ0fs', 'networks', '//t.co/8Fds28RALDs', 'https', 'resumes', 'https', 'televisions']",en
2019-12-06 09:23:08,"[aberu] Chu Deng Chang 
12/9 12Shi (Zheng Wu )~gachiya[Ji Swu Shen Ji ] Kai Cui !
5Yi Shang kiyaranoChu Xian Que Lu Chao UP!

Ji Swu Shen Ji noXin Xian Ding kiyara[aberu] gaChu Deng Chang !
Ge Zhong gemuNei kiyanpenmo!... https://t.co/3yfcpmEH94",1980,モンスターストライク公式(モンスト),1930287096,2914354,"[berg] The Men Hang 
12/9 12Shi (When U )~gachina[I You When I ] Ai Qui !
I Hang kiyaranoChu In Due U That of!

I You When I join In King tiara[berg] gash Men Hang !
He Long gemuNei kiyanpenmo!... http://t.co/3yfcpmEH94","['[s', 'gemuNeis', 'aberus', 'https', '//t.co/3yfcpmEH94s', 'kiyaras', 'aberus', 'kiyaranoChus', 'gaChus', 'kiyanpenmoes']",zh-CN
2019-12-07 13:49:55,"Chhattisgarh: Molester released on bail days ago chases and attacks his victim with a sickle, leaves her critically... https://t.co/i816njtcsI",302,Nupur J Sharma,17741799,182638,"Chhattisgarh: Molested released on bail days ago cases and attacks his victim with a sickle, leaves her clinically... http://t.co/i816njtcsI","['sickles', 'Chhattisgarhs', 'https', 'criticallies', '//t.co/i816njtcsIs', 'bails', 'victims']",en
2019-12-06 21:01:56,Traffic jam in space! The world map in the Mission Control Center showed four different spacecraft orbiting Earth t... https://t.co/n8AtO9T92X,594,Intl. Space Station,1451773004,2925917,Traffic jam in space! The world map in the Mission Control Enter showed four different statecraft writing Earth t... http://t.co/n8AtO9T92X,"['maps', 'worlds', 'spacecrafts', '//t.co/n8AtO9T92Xs', 'jams', 'spaces', 'ts', 'https']",en
2019-12-06 19:54:22,Photos from yesterday's Falcon 9 launch of Dragon - https://t.co/095WHX44BX https://t.co/vc2PHz1NmP,879,SpaceX,34743251,9371585,Shots from yesterday's Falcon 9 launch of Dragon - http://t.co/095WHX44BX http://t.co/vc2PHz1NmP,"['launches', '//t.co/vc2PHz1NmPs', 'https', 'yesterdays', 'https']",en
2019-12-07 20:00:32,And that's the beginning of the Morty Gets A Dragon episode. New episode of #RickandMorty tomorrow at 11:30pm ET on... https://t.co/Ku3E1r5LRx,504,Rick and Morty,729468343,1859072,And that's the beginning of the Forty Gets A Dragon episode. New episode of #RickandMorty tomorrow at 11:pm of on... http://t.co/Ku3E1r5LRx,"['tomorrows', 'beginnings', 'episodes', '//t.co/Ku3E1r5LRxes', 'https', 'episodes']",en
2019-12-06 17:38:08,The climactic end to the battle between Gogeta and Broly has been recreated in Dragon Ball FighterZ! https://t.co/EcV8YYDPdP,574,IGN,18927441,7253907,The climactic end to the battle between Bogota and Croly has been retreated in Dragon All lighter! http://t.co/EcV8YYDPdP,"['ends', 'battles', '//t.co/EcV8YYDPdPs', 'https']",en
2019-12-06 19:10:53,"This Japanese 'Dragon Ball Z: Kakarot' commercial is a nostalgia overload for longtime fans 

(via @DbsHype, Banda... https://t.co/5H1JRAHNsg",687,Fandom,1332121,263155,"His Japanese 'Dragon All Z: Kakarot' commercial is a nostalgia overcoat for longtime fan 

(via @DbsHype, And... http://t.co/5H1JRAHNsg","['overloads', '//t.co/5H1JRAHNsgs', 'https']",en
